setting	trial	temperature	top_p	total_seconds	prompt_tokens	completion_tokens	output_tokens_per_second	finish_reason	content
top_p_0.2	1	0.8	0.2	1.560623	34	17	10.89	stop	晨雾轻笼林梢，鸟鸣唤醒沉睡的山峦。
top_p_0.2	2	0.8	0.2	0.256459	34	10	38.99	stop	晨光织就森林的诗行。
top_p_0.2	3	0.8	0.2	0.242058	34	10	41.31	stop	晨光织就森林的诗行。
top_p_0.2	4	0.8	0.2	0.231368	34	10	43.22	stop	晨光织就森林的诗行。
top_p_0.2	5	0.8	0.2	0.229351	34	10	43.60	stop	晨光织就森林的诗行。
top_p_0.8	1	0.8	0.8	0.217820	34	9	41.32	stop	清晨的森林像童话中的森林。
top_p_0.8	2	0.8	0.8	0.163021	34	6	36.81	stop	清晨森林如诗。
top_p_0.8	3	0.8	0.8	0.184459	34	8	43.37	stop	晨雾织就的森林。
top_p_0.8	4	0.8	0.8	0.328767	34	15	45.63	stop	晨曦微露，林间雾霭轻抚山峦。
top_p_0.8	5	0.8	0.8	0.283757	34	12	42.29	stop	晨雾轻笼林梢，万物苏醒。
top_p_1.0	1	0.8	1.0	0.192437	34	9	46.77	stop	晨雾轻笼初醒林。
top_p_1.0	2	0.8	1.0	0.259109	34	11	42.45	stop	晨光拂林，鸟语花香。
top_p_1.0	3	0.8	1.0	0.297562	34	14	47.05	stop	晨雾中，森林低语唤醒沉睡的时光。
top_p_1.0	4	0.8	1.0	0.227118	34	9	39.63	stop	清晨森林如诗般苏醒。
top_p_1.0	5	0.8	1.0	0.163192	34	6	36.77	stop	清晨森林苏醒。
